Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2025,665998,801619,field_out,L,74.8,38,39.68604601263162,MIA
2025,672724,801619,field_out,R,92.2,-18,27.36032086710952,MIA
2025,682987,801619,field_out,L,83.3,-5,-27.97070358223467,MIA
2025,691594,605155,field_out,R,96.1,-11,10.584568719179938,MIA
2025,676572,605155,field_out,R,97.3,30,15.508815919576236,MIA
2025,622569,681415,field_out,R,79.2,-37,26.36434672774805,MIA
2025,641555,681415,field_out,L,92.4,24,-0.32906425627836183,MIA
2025,700250,681415,field_out,L,94.7,57,-50.848921645928954,MIA
2025,694580,664129,field_out,R,59.9,-10,44.32757741323419,MIA
2025,669699,685045,field_out,L,94.4,39,-3.4913017233166777,MIA
2025,665998,685045,field_out,L,80.5,-23,-33.70594223070983,MIA
2025,689414,642232,field_out,L,58.0,7,24.59372202272729,MIA
2025,667472,642232,field_out,R,95.2,-11,-20.93887915549435,MIA
2025,691594,642232,field_out,R,75.9,70,55.77283135743061,MIA
2025,641555,811310,field_out,L,84.8,67,69.24194135623442,MIA
2025,669065,687396,field_out,L,88.3,39,43.26198870794819,MIA
2025,676572,687396,field_out,R,90.2,72,-15.714113735578119,MIA
2025,677592,676974,force_out,R,78.7,-15,-24.068895710750244,MIA
2025,669224,676974,field_out,L,78.2,48,39.57138876905869,MIA
2025,665828,676974,single,L,99.0,10,8.99450437752523,MIA
2025,663757,676974,field_out,L,108.5,6,-33.89257947910579,MIA
2025,669364,701542,field_out,L,99.6,4,4.830112195271429,MIA
2025,688363,701542,home_run,L,107.9,21,-26.66090488244795,MIA
2025,663743,701542,field_out,R,77.1,63,66.9971658624434,MIA
2025,691176,676974,field_out,L,87.4,28,-6.1172107794046555,MIA
2025,683011,676974,field_out,R,103.9,10,8.361681752087517,MIA
2025,665862,676974,force_out,L,65.4,-14,-36.18397804467047,MIA
2025,502671,676974,single,R,104.2,-1,-22.747360575355422,MIA
2025,641355,676974,single,L,93.7,-5,-14.69029875472729,MIA
2025,672640,701542,single,R,86.8,15,18.121064545634148,MIA
2025,681146,701542,field_out,R,81.6,76,-69.24361194723734,MIA
2025,670223,701542,home_run,L,93.7,34,-39.297729011861286,MIA
2025,669224,676974,field_out,L,70.8,2,22.083509895985223,MIA
2025,665828,676974,double,L,97.4,16,-40.375178846985335,MIA
2025,663757,676974,field_out,L,75.2,-39,-34.011228845715806,MIA
2025,669364,701542,field_out,L,100.5,2,-25.40103415452378,MIA
2025,683011,676974,field_out,R,98.0,9,-17.541519807579853,MIA
2025,665862,676974,field_out,L,91.6,-10,-26.48321857762479,MIA
2025,663743,694660,field_out,R,97.9,35,-16.44669674626432,MIA
2025,669065,701542,single,L,68.1,40,28.73856350659976,MIA
2025,681146,701542,single,R,98.0,2,-4.746055632398777,MIA
2025,669364,701542,field_out,L,63.9,-54,-62.76874885273886,MIA
2025,502671,676974,field_out,R,92.6,2,-15.820361664364095,MIA
2025,641355,676974,home_run,L,102.7,26,6.959628147134122,MIA
2025,592450,676974,field_out,R,84.1,-17,-41.62157458460094,MIA
2025,693307,676254,field_out,R,94.6,20,-28.225097229856267,SF
2025,668952,676254,triple,R,103.5,24,26.992583298850935,SF
2025,669234,676254,field_out,R,51.5,-8,-41.564529503961566,SF
2025,642727,628317,field_out,L,88.0,-12,-17.952708322180708,SF
2025,676632,666808,field_out,L,54.6,-68,-137.5129357718149,SF
2025,622534,666808,single,R,79.8,16,1.9622927011724565,SF
2025,685382,666808,single,R,76.2,26,-0.7887321416357299,SF
2025,668670,666808,single,R,94.1,15,-9.23369916265087,SF
2025,683766,663554,double,R,106.7,18,-13.62972338389578,SF
2025,687529,663554,single,L,105.3,11,7.631180739964767,SF
2025,595879,678495,field_out,R,93.0,7,37.77273780515715,SF
2025,669234,678495,field_out,R,63.9,-36,-35.028691692729495,SF
2025,656305,663554,field_out,R,106.4,-18,-19.049800306022988,SF
2025,681481,666711,field_out,L,91.9,45,45.0581543923364,SF
2025,624523,666711,field_out,L,93.1,4,-31.838159786917448,SF
2025,682985,666711,sac_fly,L,112.1,16,-4.655115120046086,SF
2025,656716,666711,single,L,101.6,-13,-31.350951711585704,SF
2025,808982,663554,field_out,L,75.6,-33,-30.372337233185608,SF
2025,664774,663554,double,L,98.7,16,-44.27032905016094,SF
2025,700242,663855,grounded_into_double_play,L,103.2,-10,-0.05657164385287431,SF
2025,595879,663855,single,R,88.0,13,-5.192029004094912,SF
2025,669234,663855,field_out,R,63.5,-17,-49.629397217691576,SF
2025,573262,695549,field_out,L,91.2,26,6.19716618892469,SF
2025,527038,695549,field_out,R,101.1,18,-1.0730309466049133,SF
2025,690993,663855,force_out,L,96.0,-22,4.941773070934942,SF
2025,681481,663855,single,L,98.3,4,-31.581291918931246,SF
2025,650402,663855,field_out,R,105.9,-7,17.98785596115784,SF
2025,656305,695549,field_out,R,107.4,16,9.345592679790526,SF
2025,642715,695549,single,R,100.2,19,-40.06667061533845,SF
2025,666149,695549,home_run,R,103.9,29,-36.957739696227826,SF
2025,668670,663855,field_out,R,61.8,-36,-25.369970591984526,SF
2025,700242,663855,field_out,L,97.3,-24,-15.651598398068586,SF
2025,527038,695549,field_out,R,79.5,49,31.745915536144516,SF
2025,671218,695549,field_out,R,98.2,47,17.076022814236502,SF
2025,656305,695549,single,R,71.0,-1,26.993318446007702,SF
2025,669234,663855,home_run,R,102.3,29,-5.65373421970007,SF
2025,690993,663855,field_out,L,92.4,-9,-33.0582939540335,SF
2025,681481,663855,field_out,L,,,37.44804833751106,SF
2025,808982,695549,field_out,L,93.4,37,-2.8511364705890894,SF
2025,664774,695549,field_out,L,103.5,57,-28.916646352238992,SF
2025,650402,663855,field_out,R,72.9,-2,-33.344762321223016,SF
2025,682985,663855,field_out,L,93.0,-21,-13.760032625915999,SF
2025,656716,663855,field_out,L,83.9,29,7.231228794821764,SF
2025,642020,689233,field_out,R,82.2,26,8.982636494162787,LAA
2025,672569,814527,field_out,L,104.2,8,-45.47082465447249,LAA
2025,608360,813882,field_out,R,104.5,-18,17.599158409219076,LAA
2025,500743,813882,sac_fly,R,88.9,42,28.228637089298623,LAA
2025,683169,813882,single,R,94.2,-1,32.10200443403563,LAA
2025,694838,813882,double,L,104.6,16,47.05369461716301,LAA
2025,605131,813882,field_out,R,105.9,-17,-9.29598404337809,LAA
2025,676116,669188,field_out,L,88.8,30,-43.08349802376086,LAA
2025,683090,669188,field_out,R,91.9,59,42.36717981571421,LAA
2025,681624,445276,field_out,R,104.5,23,-30.355729830786203,LAA
2025,666176,669193,field_out,R,74.8,7,-38.1190980380543,LAA
2025,642020,669193,sac_bunt,R,21.4,-63,10.584708174960992,LAA
2025,571771,686799,field_out,R,94.3,-26,-40.84023272012953,LAA
2025,545361,672277,field_out,R,83.9,63,21.901906642491298,LAA
2025,518692,686799,field_out,L,86.7,-29,-33.0788156250168,LAA
2025,605141,686799,field_out,R,81.0,2,-6.342911697463198,LAA
2025,605131,686799,field_out,R,80.5,42,43.027303690305644,LAA
2025,694384,669160,field_out,L,104.9,-7,-25.164074973294273,LAA
2025,621493,669160,field_out,R,107.4,17,10.402187327243755,LAA
2025,621028,669160,field_out,R,93.6,5,-17.508846617404462,LAA
2025,681624,686799,field_out,R,90.7,-27,-16.693705091769818,LAA
2025,669242,686799,field_out,L,92.4,49,46.46826944691966,LAA
2025,624424,686799,field_out,L,88.4,-16,-29.465525503414742,LAA
2025,666176,669160,field_out,R,65.7,-28,-32.09498469327538,LAA
2025,681351,669160,single,R,83.3,17,-41.95646452221317,LAA
2025,641313,669160,field_out,R,96.0,-9,151.05607659939818,LAA
