Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,670231,607200,single,L,103.7,12,10.199308280277432,KC
2026,703151,621381,field_out,L,79.9,52,-7.071811451316234,KC
2026,682668,621381,single,R,100.1,6,32.17520988393255,KC
2026,695600,607200,field_out,L,73.9,34,-20.739546523543584,KC
2026,516782,607200,grounded_into_double_play,R,84.9,-13,-35.9300729829772,KC
2026,657041,607200,single,R,97.7,-15,-0.7576880230096205,KC
2026,664728,607200,double,L,103.8,14,-9.330122321697747,KC
2026,669720,656638,field_out,R,48.7,-18,31.362574857235778,KC
2026,678246,656638,double,R,108.9,17,-22.219261889641015,KC
2026,643217,656638,field_out,L,72.5,-1,-24.811646317006435,KC
2026,686475,607200,field_out,R,94.1,33,5.711380048536568,KC
2026,621028,607200,field_out,R,80.6,59,62.13651849502293,KC
2026,670231,607200,sac_bunt,L,37.7,-55,32.16910837900053,KC
2026,679845,607200,single,R,65.3,29,-37.292756433221015,KC
2026,592273,607200,home_run,R,112.0,24,-33.919855219181976,KC
2026,703151,656638,field_out,L,95.5,26,-0.7605187771308934,KC
2026,664774,666142,field_out,L,86.6,26,-18.025264826544156,KC
2026,657041,607200,sac_fly,R,96.8,52,7.658922449617967,KC
2026,664728,607200,single,L,52.2,-74,67.5293980029363,KC
2026,686475,607200,single,R,75.8,8,-40.374406584017315,KC
2026,669720,666142,single,R,84.0,-29,-37.779672318721445,KC
2026,678246,666142,double,R,96.8,27,-15.383237030839233,KC
2026,695657,666142,field_out,L,95.5,21,16.82672030827929,KC
2026,643217,666142,field_out,L,85.2,-26,-27.16078666358054,KC
2026,621028,696146,field_out,R,89.5,-22,-34.326559353030305,KC
2026,682668,666142,field_out,R,93.5,33,34.83865321701748,KC
2026,700337,666142,single,R,105.8,2,1.65460146045877,KC
2026,669720,666142,field_out,R,99.4,37,30.556452642387676,KC
2026,695657,666142,single,L,108.4,6,-38.22004179156438,KC
2026,664731,810897,grounded_into_double_play,R,88.5,8,-17.054948368192417,SEA
2026,641658,810897,single,R,104.6,9,-24.533697604760622,SEA
2026,671155,810897,single,L,84.6,13,-11.051502133390073,SEA
2026,826163,664948,field_out,L,92.1,-18,-4.645544677372725,SEA
2026,801126,664948,field_out,R,77.3,82,-116.67396245600195,SEA
2026,694689,695380,field_out,L,73.7,4,-30.544893578214975,SEA
2026,691398,695380,field_out,L,84.8,0,-7.986324037350402,SEA
2026,800176,695380,single,L,108.4,12,-8.211995859968653,SEA
2026,809844,695380,force_out,L,72.4,-14,-28.949207368181543,SEA
2026,663886,806288,force_out,R,68.7,-16,-28.89006896210511,SEA
2026,641658,666374,field_error,R,83.6,4,-44.705618946855154,SEA
2026,670042,656271,field_out,L,53.8,-58,-51.97853929842992,SEA
2026,680977,656271,single,L,86.0,25,42.53346693170536,SEA
2026,689041,656271,single,L,95.4,-17,26.565051177077972,SEA
2026,692044,656271,field_out,R,80.7,47,28.733199750628224,SEA
2026,677956,662253,double,R,75.8,39,-9.0623445400299,SEA
2026,641598,686671,field_out,R,101.3,36,-8.64149165049342,SEA
2026,702284,686671,field_out,L,101.3,-16,-37.67394130927923,SEA
2026,608701,686671,double,R,97.8,29,22.462226404958354,SEA
2026,670042,572955,double,L,113.4,14,16.83601153910125,SEA
2026,680977,572955,double,L,104.4,22,-16.311682049371825,SEA
2026,694930,572955,single,L,92.8,3,34.213833550975274,SEA
2026,660844,572955,field_out,L,87.0,50,-11.308886682509334,SEA
2026,701398,688230,field_out,R,103.8,9,8.755228719841313,SEA
2026,682829,669923,double,L,81.5,52,46.086371613808595,SEA
2026,680574,669923,field_out,R,95.6,64,22.340003241845487,SEA
2026,608701,682227,field_out,R,86.1,-2,-14.313220314009062,SEA
2026,694362,669923,force_out,R,80.3,-10,-17.00484333618859,SEA
2026,663647,669923,single,R,108.8,5,-1.7855448980235145,SEA
2026,670042,682227,field_out,L,92.9,72,60.19996573614126,SEA
