Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2024,800473,664854,field_out,R,,,-19.252986974966536,CHC
2024,807713,664854,field_out,R,,,-36.14190532299371,CHC
2024,690443,696098,field_out,L,,,-38.46208506694545,CHC
2024,671056,696098,home_run,R,,,-20.481248788582306,CHC
2024,695336,696098,field_out,R,,,2.9670581783393333,CHC
2024,694271,696098,field_out,R,,,-13.85591399908699,CHC
2024,663611,668941,field_out,R,,,18.332217183710423,CHC
2024,676053,668941,field_out,R,,,103.3616639718657,CHC
2024,701675,684949,field_out,L,,,-28.541389220980488,CHC
2024,681047,552640,home_run,R,,,-14.858107528032265,CHC
2024,691026,683522,field_out,R,,,17.32256699428461,CHC
2024,699625,683522,field_out,L,,,40.22394270017312,CHC
2024,690443,683522,field_out,L,,,-20.939390322602357,CHC
2024,671056,683522,double,R,,,36.10586461509965,CHC
2024,663611,606149,double,R,,,-44.79893298120706,CHC
2024,664023,606149,field_out,L,,,61.354051243201226,CHC
2024,695336,700794,single,R,,,30.93015093579289,CHC
2024,694271,700794,single,R,,,-32.23179400062424,CHC
2024,572761,700794,double,L,,,5.100829075341331,CHC
2024,687363,700794,field_out,L,,,-12.465995713392543,CHC
2024,672279,700794,field_out,L,,,36.05834671724304,CHC
2024,670156,502043,field_out,L,,,-30.733438187149158,CHC
2024,643265,502043,field_out,R,,,4.020851637898462,CHC
2024,543063,622075,grounded_into_double_play,L,,,-25.120403721289275,CHC
2024,676475,622075,single,L,,,-40.84096053420583,CHC
2024,691023,622075,field_out,R,,,-34.364344785832074,CHC
2024,665804,502043,field_out,R,,,-24.129315031092,CHC
2024,800473,502043,field_out,R,,,-19.96487300829684,CHC
2024,687363,684007,single,L,,,-1.6602823689828048,CHC
2024,672279,684007,single,L,,,11.456818872972173,CHC
2024,664023,502043,single,L,,,-34.69515353123396,CHC
2024,670156,502043,single,L,,,-30.988537617585212,CHC
2024,643565,502043,home_run,L,,,-23.48147126104245,CHC
2024,676475,684007,double,L,,,48.08629731897844,CHC
2024,572761,684007,field_error,L,,,-40.03025927188969,CHC
2024,680977,684007,double,L,,,-30.081232046384844,CHC
2024,672279,684007,single,L,,,-7.646368415810001,CHC
2024,543063,684007,field_out,L,,,-0.6167779699632377,CHC
2024,676475,684007,field_out,L,,,-46.55260607971672,CHC
2024,663538,502043,grounded_into_double_play,R,,,-12.389040538493239,CHC
2024,664023,502043,single,L,,,-36.72558532998801,CHC
2024,691023,684007,field_out,R,,,-23.928833971555616,CHC
2024,575929,684007,single,R,,,1.4957466991861539,CHC
2024,669357,684007,single,L,,,-11.070892080358336,CHC
2024,502671,684007,double,R,,,-5.027459451043441,CHC
2024,807742,681938,field_out,L,71.1,-2,7.850075296948059,TB
2024,680700,681938,double,L,94.1,32,-44.487976604440156,TB
2024,681538,543606,field_out,R,78.3,29,-5.076788074813046,TB
2024,802415,663977,field_out,L,96.1,-6,-41.27052791728009,TB
2024,695692,663977,field_out,L,83.1,58,24.00649313040174,TB
